Contract ID,Reference IDV,Modification Number,Transaction Number,Award/IDV Type,Action Obligation ($),Date Signed,Solicitation Date,Contracting Agency ID,Contracting Agency,Contracting Office Name,PSC Type,PSC,PSC Description,NAICS,NAICS Description,Entity City,Entity State,Entity ZIP Code,Additional Reporting Code,Additional Reporting Description,Unique Entity ID,Ultimate Parent Unique Entity ID,Ultimate Parent Legal Business Name,Legal Business Name,CAGE Code,
"W31P4Q04C0092",,"P00142","1","DCA Definitive Contract","-$263,737.00","Jun 25, 2007",,"2100","DEPT OF THE ARMY","W6QK ACC-RSA","S","AC24","R&D-MISSILE & SPACE SYS-ENG DEV","336414","GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING","TUCSON","AZ","857069367",,,"WGB7GAKM7A68","KLW3ZYL15493","RAYTHEON COMPANY","RAYTHEON/LOCKHEED MARTIN JAVELIN JOINT VENTURE",,
"W31P4Q04C0092",,"P00145","1","DCA Definitive Contract","$0.00","Aug 14, 2007",,"2100","DEPT OF THE ARMY","W6QK ACC-RSA","S","AC24","R&D-MISSILE & SPACE SYS-ENG DEV","336414","GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING","TUCSON","AZ","857069367",,,"WGB7GAKM7A68","KLW3ZYL15493","RAYTHEON COMPANY","RAYTHEON/LOCKHEED MARTIN JAVELIN JOINT VENTURE",,
"W31P4Q07C0190",,"P00022","1","DCA Definitive Contract","$0.00","Oct 23, 2007",,"2100","DEPT OF THE ARMY","W6QK ACC-RSA","S","AC24","R&D-MISSILE & SPACE SYS-ENG DEV","541330","ENGINEERING SERVICES","TUCSON","AZ","857069367",,,"WGB7GAKM7A68","KLW3ZYL15493","RAYTHEON COMPANY","RAYTHEON/LOCKHEED MARTIN JAVELIN JOINT VENTURE",,
"W31P4Q04C0046",,"PZ0260","2","DCA Definitive Contract","$397,473.00","May 2, 2012",,"2100","DEPT OF THE ARMY","W6QK ACC-RSA","S","AC24","R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (ENGINEERING DEVELOPMENT)","541710","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES","TUCSON","AZ","857069367",,,"WGB7GAKM7A68","KLW3ZYL15493","RAYTHEON COMPANY","RAYTHEON/LOCKHEED MARTIN JAVELIN JOINT VENTURE",,
"W31P4Q04C0092",,"P00141","1","DCA Definitive Contract","$0.00","Jun 14, 2007",,"2100","DEPT OF THE ARMY","W6QK ACC-RSA","S","AC24","R&D-MISSILE & SPACE SYS-ENG DEV","336414","GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING","TUCSON","AZ","857069367",,,"WGB7GAKM7A68","KLW3ZYL15493","RAYTHEON COMPANY","RAYTHEON/LOCKHEED MARTIN JAVELIN JOINT VENTURE",,
"W31P4Q04C0092",,"P00144","1","DCA Definitive Contract","$0.00","Aug 13, 2007",,"2100","DEPT OF THE ARMY","W6QK ACC-RSA","S","AC24","R&D-MISSILE & SPACE SYS-ENG DEV","336414","GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING","TUCSON","AZ","857069367",,,"WGB7GAKM7A68","KLW3ZYL15493","RAYTHEON COMPANY","RAYTHEON/LOCKHEED MARTIN JAVELIN JOINT VENTURE",,
"W31P4Q07C0190",,"P00010","1","DCA Definitive Contract","$0.00","Aug 13, 2007",,"2100","DEPT OF THE ARMY","W6QK ACC-RSA","S","AC24","R&D-MISSILE & SPACE SYS-ENG DEV","541330","ENGINEERING SERVICES","TUCSON","AZ","857069367",,,"WGB7GAKM7A68","KLW3ZYL15493","RAYTHEON COMPANY","RAYTHEON/LOCKHEED MARTIN JAVELIN JOINT VENTURE",,
"W31P4Q07C0190",,"P00011","1","DCA Definitive Contract","$11,386.00","Jul 26, 2007",,"2100","DEPT OF THE ARMY","W6QK ACC-RSA","S","AC24","R&D-MISSILE & SPACE SYS-ENG DEV","541330","ENGINEERING SERVICES","TUCSON","AZ","857069367",,,"WGB7GAKM7A68","KLW3ZYL15493","RAYTHEON COMPANY","RAYTHEON/LOCKHEED MARTIN JAVELIN JOINT VENTURE",,
"W31P4Q07C0190",,"P00016","1","DCA Definitive Contract","-$522.00","Sep 19, 2007",,"2100","DEPT OF THE ARMY","W6QK ACC-RSA","S","AC24","R&D-MISSILE & SPACE SYS-ENG DEV","541330","ENGINEERING SERVICES","TUCSON","AZ","857069367",,,"WGB7GAKM7A68","KLW3ZYL15493","RAYTHEON COMPANY","RAYTHEON/LOCKHEED MARTIN JAVELIN JOINT VENTURE",,
"W31P4Q04C0092",,"P00143","1","DCA Definitive Contract","$0.00","Jun 25, 2007",,"2100","DEPT OF THE ARMY","W6QK ACC-RSA","S","AC24","R&D-MISSILE & SPACE SYS-ENG DEV","336414","GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING","TUCSON","AZ","857069367",,,"WGB7GAKM7A68","KLW3ZYL15493","RAYTHEON COMPANY","RAYTHEON/LOCKHEED MARTIN JAVELIN JOINT VENTURE",,
